step,mode,ic_seed,reward,cum_reward,dose,cum_dose,number_tumor,action_dose
0,I2,1000,-0.004073334163729205,-0.004073334163729205,0.0020366670818646026,0.0020366670818646026,124,0.08691969513893127
1,I2,1000,-0.005545365356864362,-0.009618699520593566,0.002772682678432181,0.004809349760296783,124,0.12796252965927124
2,I2,1000,-1.6366034248103687,-1.6462221243309623,0.010966096695678666,0.01577544645597545,127,0.5243908166885376
3,I2,1000,-0.02450672917595496,-1.6707288535069171,0.01225336458797748,0.028028811043952932,127,0.6079200506210327
4,I2,1000,-1.0780119739675498,-2.748740827474467,0.01349618988152444,0.041525000925477375,129,0.6157054901123047
5,I2,1000,1.0092816091418806,-1.7394592183325863,0.012721553816546658,0.054246554742024035,127,0.5314931273460388
6,I2,1000,0.4884331046099776,-1.2510261137226086,0.01853834624613644,0.07278490098816047,126,0.7074874639511108
7,I2,1000,-1.0807936583994548,-2.3318197721220635,0.010716319422062292,0.08350122041022276,128,0.3831808269023895
8,I2,1000,-0.02144361497413364,-2.353263387096197,0.01072180748706682,0.09422302789728958,128,0.4014608860015869
9,I2,1000,0.479472468971938,-1.873790918124259,0.020965891420225497,0.11518891931751507,127,0.763427734375
10,I2,1000,-0.03921126111925144,-1.9130021792435103,0.01960563055962572,0.1347945498771408,127,0.6594470143318176
11,I2,1000,1.018752538540448,-0.8942496407030625,0.016133527832026446,0.15092807770916725,125,0.5984483361244202
12,I2,1000,1.0433508881423084,0.1491012474392459,0.012242509784732125,0.16317058749389937,123,0.4672165513038635
13,I2,1000,2.144587670546482,2.293688917985728,0.012905257929780076,0.17607584542367943,119,0.58205646276474
14,I2,1000,0.5339657984637693,2.827654716449497,0.013436194179820365,0.1895120396034998,118,0.6129684448242188
15,I2,1000,0.5520561468843254,3.3797108633338224,0.006767452964556851,0.19627949256805666,117,0.32756122946739197
16,I2,1000,0.558541916369001,3.9382527797028235,0.005941624003473053,0.20222111657152972,116,0.3102934956550598
17,I2,1000,0.5704358330085049,4.508688612711328,0.002453394840513918,0.20467451141204362,115,0.14533618092536926
18,I2,1000,1.1536394499946838,5.6623280627060115,0.003525877019925933,0.20820038843196956,113,0.2294132113456726
19,I2,1000,2.3523952278756264,8.014723290581639,0.005036797247776369,0.21323718567974592,109,0.3446732461452484
20,I2,1000,1.2182330223372602,9.2329563129189,0.0031747203174782327,0.21641190599722415,107,0.24231663346290588
21,I2,1000,1.86343775585335,11.096394068772248,0.0038850131759297552,0.22029691917315392,104,0.3426581621170044
22,I2,1000,-0.009532501487895325,11.086861567284354,0.004766250743947663,0.22506316991710157,104,0.3637932538986206
23,I2,1000,0.6273819206498137,11.714243487934167,0.0071731946365633245,0.2322363645536649,103,0.6326757669448853
24,I2,1000,-0.013886727803778847,11.700356760130388,0.0069433639018894235,0.23917972845555432,103,0.6263229846954346
25,I2,1000,0.6312463089680381,12.331603069098426,0.008356186447950898,0.2475359149035052,102,0.7896596193313599
26,I2,1000,-0.6688925976672722,11.662710471431154,0.007290689853313558,0.2548266047568188,103,0.8037985563278198
27,I2,1000,-0.01003634644323586,11.652674124987918,0.00501817322161793,0.2598447779784367,103,0.6224102973937988
28,I2,1000,0.6410819972681817,12.2937561222561,0.003438342297879116,0.2632831202763158,102,0.4705786406993866
29,I2,1000,1.953568283457569,14.24732440571367,0.004682685212183131,0.2679658054884989,99,0.7434231042861938
30,I2,1000,0.6662745288585801,14.91359893457225,0.003932150883769532,0.27189795637226843,98,0.7093957662582397
31,I2,1000,-0.6875478479022669,14.226051086669983,0.003265024808348802,0.2751629811806172,99,0.6170896887779236
32,I2,1000,0.6661949882096716,14.892246074879655,0.003971921208223789,0.279134902388841,98,0.6854154467582703
33,I2,1000,1.3547024638856913,16.246948538765345,0.003666566342723613,0.2828014687315646,96,0.6063584089279175
34,I2,1000,0.687754651295428,16.934703190060773,0.003725508893878732,0.2865269776254433,95,0.6161060333251953
35,I2,1000,1.3972533616594012,18.331956551720175,0.003896942664886728,0.29042392029033004,93,0.5155655145645142
36,I2,1000,-0.009680540052881527,18.322276011667295,0.0048402700264407635,0.2952641903167708,93,0.5192170739173889
37,I2,1000,0.7066185514438366,19.02889456311113,0.005506553482306517,0.3007707437990773,92,0.590689480304718
38,I2,1000,0.7140117209556656,19.742906284066795,0.005710140782959608,0.3064808845820369,91,0.5527694821357727
39,I2,1000,0.7202716992960229,20.46317798336282,0.006566041736525893,0.31304692631856285,90,0.6060609221458435
40,I2,1000,-0.013969255592997833,20.449208727769822,0.0069846277964989165,0.3200315541150618,90,0.5331151485443115
41,I2,1000,2.209610589242882,22.658819317012703,0.007523775911655556,0.32755533002671733,87,0.5529975295066833
42,I2,1000,0.7503240140802593,23.409143331092963,0.008399741419558862,0.3359550714462762,86,0.5748029947280884
43,I2,1000,-0.7944945742709135,22.61464875682205,0.009225518344841666,0.3451805897911178,87,0.554789125919342
44,I2,1000,-0.022571815114442995,22.592076941707607,0.011285907557221498,0.3564664973483393,87,0.6136132478713989
45,I2,1000,-0.022101110341597577,22.56997583136601,0.011050555170798788,0.3675170525191381,87,0.5482456684112549
46,I2,1000,1.5110295245726617,24.08100535593867,0.011608734633046153,0.37912578715218426,85,0.648944616317749
47,I2,1000,-0.026788967987487287,24.054216387951186,0.013394483993743643,0.3925202711459279,85,0.80549556016922
48,I2,1000,0.7554514761344444,24.80966786408563,0.014860992709164897,0.4073812638550928,84,0.8426182866096497
49,I2,1000,-0.828931617270309,23.98073624681532,0.01720542630190572,0.42458669015699857,85,0.8754914999008179
50,I2,1000,0.7528327328958487,24.73356897971117,0.016170364328462732,0.4407570544854613,84,0.8672996759414673
51,I2,1000,0.7683883731527971,25.501957352863965,0.01306619575685024,0.45382325024231157,83,0.8789784908294678
52,I2,1000,-0.03294800756920132,25.469009345294765,0.01647400378460066,0.47029725402691225,83,0.9209200143814087
53,I2,1000,2.3818816391561994,27.850890984450963,0.015199136421643807,0.4854963904485561,80,0.8871378302574158
54,I2,1000,1.6424252247186428,29.493316209169606,0.01303419054050114,0.4985305809890572,78,0.8622117042541504
55,I2,1000,1.685390920336797,31.178707129506403,0.012942286395522022,0.5114728673845792,76,0.9172845482826233
56,I2,1000,1.735436449231071,32.91414357873747,0.01043630475269874,0.5219091721372779,74,0.8284338712692261
57,I2,1000,-0.020460141759340456,32.89368343697813,0.010230070879670228,0.5321392430169481,74,0.8458989858627319
58,I2,1000,-0.017965190745204966,32.87571824623292,0.008982595372602483,0.5411218383895506,74,0.8695590496063232
59,I2,1000,-0.01531378434148295,32.86040446189144,0.007656892170741475,0.5487787305602921,74,0.8213568925857544
60,I2,1000,-0.013912702633950716,32.84649175925749,0.006956351316975358,0.5557350818772675,74,0.8628049492835999
61,I2,1000,-0.010532853404530713,32.835958905852955,0.005266426702265356,0.5610015085795329,74,0.7207740545272827
62,I2,1000,-0.007642330225903431,32.82831657562705,0.0038211651129517153,0.5648226736924846,74,0.5833155512809753
63,I2,1000,0.8983769563054445,33.7266935319325,0.001755739630965629,0.5665784133234503,73,0.3167513906955719
64,I2,1000,-0.003307572658189931,33.72338595927431,0.0016537863290949654,0.5682321996525452,73,0.2524568438529968
65,I2,1000,0.9113488243209199,34.63473478359523,0.001447123675059239,0.5696793233276045,72,0.19805634021759033
66,I2,1000,1.8498383641110374,36.484573147706264,0.0020217100553952287,0.5717010333829997,70,0.21686938405036926
67,I2,1000,-0.005007818833079858,36.479565328873186,0.002503909416539929,0.5742049427995396,70,0.26859503984451294
68,I2,1000,-0.010791255052758273,36.46877407382043,0.0053956275263791365,0.5796005703259187,70,0.5098868012428284
69,I2,1000,-0.01942472681346844,36.44934934700696,0.00971236340673422,0.5893129337326529,70,0.8030910491943359
70,I2,1000,-2.876982232437789,33.57236711456917,0.008353739819198689,0.5976666735518517,73,0.6501175165176392
71,I2,1000,2.720242923568414,36.29261003813758,0.011243145722350537,0.6089098192742022,70,0.7693800926208496
72,I2,1000,-0.025299479090978228,36.26731055904661,0.012649739545489114,0.6215595588196913,70,0.7969335913658142
73,I2,1000,3.7819260974327435,40.04923665647935,0.015886786483222576,0.6374463453029139,66,0.9272743463516235
74,I2,1000,0.9814711732922454,41.0307078297716,0.014868536323466628,0.6523148816263805,65,0.786842942237854
75,I2,1000,0.9974308529806678,42.02813868275227,0.014667221448018406,0.6669821030743989,64,0.7276775240898132
76,I2,1000,-0.023158356626197776,42.00498032612607,0.011579178313098888,0.6785612813874977,64,0.5406795144081116
77,I2,1000,-2.111360233144464,39.89362009298161,0.012871612947453898,0.6914328943349516,66,0.543483316898346
