step,mode,ic_seed,reward,cum_reward,dose,cum_dose,number_tumor,action_dose
0,S3s,1000,-0.020796065968450777,-0.020796065968450777,0.010398032984225388,0.010398032984225388,124,0.4485847055912018
1,S3s,1000,-0.04064909959506196,-0.06144516556351273,0.02032454979753098,0.030722582781756366,124,0.8673993349075317
2,S3s,1000,-0.04090413214668395,-0.10234929771019668,0.020452066073341976,0.05117464885509834,124,0.7730880975723267
3,S3s,1000,0.497489642130982,0.3951403444207853,0.020367050837677533,0.07154169969277588,123,0.7282596826553345
4,S3s,1000,-0.5856543258219609,-0.19051398140117554,0.02152738961022517,0.09306908930300105,124,0.7061339616775513
5,S3s,1000,0.4920100195109187,0.3014960381097432,0.023106862147709198,0.11617595145071025,123,0.7164932489395142
6,S3s,1000,0.49448280911901143,0.7959788472287546,0.02405836874124955,0.1402343201919598,122,0.7073160409927368
7,S3s,1000,1.0413992887964623,1.8373781360252168,0.026347439470504986,0.1665817596624648,120,0.7211930155754089
8,S3s,1000,0.5005145033004617,2.3378926393256787,0.027825015983043315,0.19440677564550812,119,0.7171265482902527
9,S3s,1000,2.1880484987966717,4.52594113812235,0.027652124248484455,0.22205889989399258,115,0.7080727815628052
10,S3s,1000,-0.6358326606178687,3.890108477504482,0.027743529300300444,0.24980242919429302,116,0.6797164678573608
11,S3s,1000,-0.6312529434088261,3.2588555340956558,0.027955160359646698,0.2777575895539397,117,0.7022407054901123
12,S3s,1000,-0.055151565274954385,3.2037039688207014,0.027575782637477193,0.3053333721914169,117,0.7153482437133789
13,S3s,1000,1.0876209600187237,4.291324928839425,0.026614684366585175,0.331948056558002,115,0.7235183715820312
14,S3s,1000,1.1098286582848877,5.401153587124313,0.025431272874823985,0.357379329432826,113,0.7108219861984253
15,S3s,1000,-0.04518346817735522,5.355970118946957,0.02259173408867761,0.3799710635215036,113,0.6844778060913086
16,S3s,1000,0.5483802084060325,5.90435032735299,0.021118498593381083,0.4010895621148847,112,0.7103332281112671
17,S3s,1000,1.1511979569563995,7.055548284309389,0.0202915950216734,0.4213811571365581,110,0.6942874193191528
18,S3s,1000,1.7806310369109783,8.836179321220367,0.019771902889771677,0.44115306002632976,107,0.6823885440826416
19,S3s,1000,3.077050308950142,11.913229630170509,0.02081466402927013,0.4619677240555999,102,0.6504992246627808
20,S3s,1000,0.6083837712449592,12.521613401415468,0.022963723357842893,0.4849314474134428,101,0.5626112222671509
21,S3s,1000,0.6119373550305777,13.133550756446047,0.02442609591038349,0.5093575433238263,100,0.584019124507904
22,S3s,1000,1.2853689420825176,14.418919698528564,0.02471297127859933,0.5340705146024256,98,0.6054677963256836
23,S3s,1000,0.6273863495638698,15.046306048092433,0.02681572436084973,0.5608862389632754,97,0.6260682940483093
24,S3s,1000,1.9941067694555972,17.04041281754803,0.03500451576682716,0.5958907547301026,94,0.7718495726585388
25,S3s,1000,1.3555605642209965,18.39597338176903,0.032216996953180435,0.628107751683283,92,0.5892592668533325
26,S3s,1000,0.6423512739431254,19.038324655712152,0.04154036428922969,0.6696481159725127,91,0.7563014030456543
