metric,pair,action,direction,seed,image,scalar,delta
td_residual,P1,targeted,rect2net,1,1.2194965218901632,356.2451060333252,-2.838590453723501
td_residual,P1,targeted,rect2net,2,0.843506858408451,63.724067932128904,-2.162374784941402
td_residual,P1,targeted,rect2net,3,1.2163646669387818,529.6637645568848,-3.0381878847841652
td_residual,P1,targeted,rect2net,4,1.2207807885408402,525.7102188110351,-3.0326297507373563
td_residual,P1,targeted,rect2net,5,1.2188873880505562,373.26932368469244,-2.862180870435825
q_mae,P1,targeted,rect2net,1,14.358139474994264,49.333008358051565,-1.234276405534135
q_mae,P1,targeted,rect2net,2,13.269462606918722,37.81102245888826,-1.0471353088771704
q_mae,P1,targeted,rect2net,3,13.961129880982195,62.02888625071887,-1.4913231527215487
q_mae,P1,targeted,rect2net,4,15.870661344779265,41.77462805129081,-0.9678169645132777
q_mae,P1,targeted,rect2net,5,15.341712598226106,29.76315059571609,-0.6626956387970226
td_residual,P2,targeted,rect2net,1,0.9108171067833901,24.48193904685974,-1.6456744133777095
td_residual,P2,targeted,rect2net,2,0.9141714824438095,34.96031945800782,-1.8219753980665054
td_residual,P2,targeted,rect2net,4,1.1525546904206276,431.7206958618164,-2.9628989466508986
td_residual,P2,targeted,rect2net,5,1.1726559599637985,124.51862820434569,-2.3325920507281905
q_mae,P2,targeted,rect2net,1,9.724749149583378,13.40035751488339,-0.3206072920316174
q_mae,P2,targeted,rect2net,2,13.354301100293872,15.984651168141351,-0.17979044706919334
q_mae,P2,targeted,rect2net,4,10.405689536954734,82.30942999817303,-2.068132954479243
q_mae,P2,targeted,rect2net,5,15.077503418067693,26.635253215116894,-0.5690318541371719
td_residual,P3,targeted,rect2net,1,0.8559370759129525,332.93028430175787,-2.9817457633004887
td_residual,P3,targeted,rect2net,2,1.2840037568211555,1010.1299994812013,-3.3339255913867714
td_residual,P3,targeted,rect2net,4,1.19464236497879,1978.6785326538088,-3.706168814349617
td_residual,P3,targeted,rect2net,5,0.9263048562407492,47.33350371170043,-1.9668851242917738
q_mae,P3,targeted,rect2net,1,13.557755535208889,31.298528890912557,-0.8366123483413834
q_mae,P3,targeted,rect2net,2,16.93687354170678,47.3815124864907,-1.0287390091998105
q_mae,P3,targeted,rect2net,4,22.338703162930557,86.91282097702222,-1.3585848165707275
q_mae,P3,targeted,rect2net,5,11.347862391571285,15.570631922872854,-0.3163571803029779
td_residual,P1,full,rect2net,1,9.51172416484356,77.64304759979248,-1.049798425085945
td_residual,P1,full,rect2net,2,2.216680032134056,142.55696560668943,-2.081865541477153
td_residual,P1,full,rect2net,3,2.4566059930324555,74.24792698669434,-1.7043145691191224
td_residual,P1,full,rect2net,4,2.7562498738765715,57.73999419784546,-1.521039529646612
q_mae,P1,full,rect2net,1,47.440948151997006,49.509428959555024,-0.04267739463595621
q_mae,P1,full,rect2net,2,45.296353840047516,51.54483991092043,-0.1292255666641382
q_mae,P1,full,rect2net,3,35.376531598275506,44.552570915930396,-0.23062120971189115
q_mae,P1,full,rect2net,4,38.34245073751386,59.439306900137254,-0.4383980831049743
td_residual,P2,full,rect2net,1,5.926922324061393,80.90417095947264,-1.306880151216149
