action_repeat,delta_x,delta_y,delta_radius,name,w_cell,w_dose,w_smooth,tumor_reduction,tumor_reduction_lo,tumor_reduction_hi,total_dose,total_dose_lo,total_dose_hi,smooth_cost,smooth_cost_lo,smooth_cost_hi,n_episodes,objective
6,0.2541000640255455,0.23500605695039734,0.02823154755797401,lhs_016,0.3,2.0,0.02,-42.416666666666664,-73.17708333333334,-10.581250000000011,5.608139532380531,5.225203806727211,6.0111060285427795,18.58213374278663,17.764184237647957,19.41508942083067,12,0.052904900765883486
6,0.2541000640255455,0.23500605695039734,0.02823154755797401,lhs_016,0.3,2.0,0.0,-42.416666666666664,-73.17708333333334,-10.581250000000011,5.608139532380531,5.225203806727211,6.0111060285427795,18.58213374278663,17.764184237647957,19.41508942083067,12,0.052904900765883486
6,0.2541000640255455,0.23500605695039734,0.02823154755797401,lhs_016,0.3,1.0,0.1,-42.416666666666664,-73.17708333333334,-10.581250000000011,5.608139532380531,5.225203806727211,6.0111060285427795,18.58213374278663,17.764184237647957,19.41508942083067,12,0.052904900765883486
6,0.2541000640255455,0.23500605695039734,0.02823154755797401,lhs_016,0.5,1.0,0.0,-42.416666666666664,-73.17708333333334,-10.581250000000011,5.608139532380531,5.225203806727211,6.0111060285427795,18.58213374278663,17.764184237647957,19.41508942083067,12,0.052904900765883486
6,0.2541000640255455,0.23500605695039734,0.02823154755797401,lhs_016,0.5,0.5,0.1,-42.416666666666664,-73.17708333333334,-10.581250000000011,5.608139532380531,5.225203806727211,6.0111060285427795,18.58213374278663,17.764184237647957,19.41508942083067,12,0.052904900765883486
6,0.2541000640255455,0.23500605695039734,0.02823154755797401,lhs_016,0.5,1.0,0.1,-42.416666666666664,-73.17708333333334,-10.581250000000011,5.608139532380531,5.225203806727211,6.0111060285427795,18.58213374278663,17.764184237647957,19.41508942083067,12,0.052904900765883486
6,0.2541000640255455,0.23500605695039734,0.02823154755797401,lhs_016,0.5,2.0,0.0,-42.416666666666664,-73.17708333333334,-10.581250000000011,5.608139532380531,5.225203806727211,6.0111060285427795,18.58213374278663,17.764184237647957,19.41508942083067,12,0.052904900765883486
6,0.2541000640255455,0.23500605695039734,0.02823154755797401,lhs_016,0.5,1.0,0.02,-42.416666666666664,-73.17708333333334,-10.581250000000011,5.608139532380531,5.225203806727211,6.0111060285427795,18.58213374278663,17.764184237647957,19.41508942083067,12,0.052904900765883486
6,0.2541000640255455,0.23500605695039734,0.02823154755797401,lhs_016,1.0,0.5,0.0,-42.416666666666664,-73.17708333333334,-10.581250000000011,5.608139532380531,5.225203806727211,6.0111060285427795,18.58213374278663,17.764184237647957,19.41508942083067,12,0.052904900765883486
6,0.2541000640255455,0.23500605695039734,0.02823154755797401,lhs_016,0.5,2.0,0.02,-42.416666666666664,-73.17708333333334,-10.581250000000011,5.608139532380531,5.225203806727211,6.0111060285427795,18.58213374278663,17.764184237647957,19.41508942083067,12,0.052904900765883486
6,0.2541000640255455,0.23500605695039734,0.02823154755797401,lhs_016,0.5,2.0,0.1,-42.416666666666664,-73.17708333333334,-10.581250000000011,5.608139532380531,5.225203806727211,6.0111060285427795,18.58213374278663,17.764184237647957,19.41508942083067,12,0.052904900765883486
6,0.2541000640255455,0.23500605695039734,0.02823154755797401,lhs_016,1.0,1.0,0.0,-42.416666666666664,-73.17708333333334,-10.581250000000011,5.608139532380531,5.225203806727211,6.0111060285427795,18.58213374278663,17.764184237647957,19.41508942083067,12,0.052904900765883486
6,0.2541000640255455,0.23500605695039734,0.02823154755797401,lhs_016,1.0,0.5,0.1,-42.416666666666664,-73.17708333333334,-10.581250000000011,5.608139532380531,5.225203806727211,6.0111060285427795,18.58213374278663,17.764184237647957,19.41508942083067,12,0.052904900765883486
6,0.2541000640255455,0.23500605695039734,0.02823154755797401,lhs_016,1.0,0.5,0.02,-42.416666666666664,-73.17708333333334,-10.581250000000011,5.608139532380531,5.225203806727211,6.0111060285427795,18.58213374278663,17.764184237647957,19.41508942083067,12,0.052904900765883486
6,0.2541000640255455,0.23500605695039734,0.02823154755797401,lhs_016,1.0,1.0,0.02,-42.416666666666664,-73.17708333333334,-10.581250000000011,5.608139532380531,5.225203806727211,6.0111060285427795,18.58213374278663,17.764184237647957,19.41508942083067,12,0.052904900765883486
6,0.2541000640255455,0.23500605695039734,0.02823154755797401,lhs_016,1.0,2.0,0.02,-42.416666666666664,-73.17708333333334,-10.581250000000011,5.608139532380531,5.225203806727211,6.0111060285427795,18.58213374278663,17.764184237647957,19.41508942083067,12,0.052904900765883486
6,0.2541000640255455,0.23500605695039734,0.02823154755797401,lhs_016,1.0,2.0,0.0,-42.416666666666664,-73.17708333333334,-10.581250000000011,5.608139532380531,5.225203806727211,6.0111060285427795,18.58213374278663,17.764184237647957,19.41508942083067,12,0.052904900765883486
6,0.2541000640255455,0.23500605695039734,0.02823154755797401,lhs_016,1.0,1.0,0.1,-42.416666666666664,-73.17708333333334,-10.581250000000011,5.608139532380531,5.225203806727211,6.0111060285427795,18.58213374278663,17.764184237647957,19.41508942083067,12,0.052904900765883486
6,0.2541000640255455,0.23500605695039734,0.02823154755797401,lhs_016,1.0,2.0,0.1,-42.416666666666664,-73.17708333333334,-10.581250000000011,5.608139532380531,5.225203806727211,6.0111060285427795,18.58213374278663,17.764184237647957,19.41508942083067,12,0.052904900765883486
6,0.2541000640255455,0.23500605695039734,0.02823154755797401,lhs_016,0.3,1.0,0.02,-42.416666666666664,-73.17708333333334,-10.581250000000011,5.608139532380531,5.225203806727211,6.0111060285427795,18.58213374278663,17.764184237647957,19.41508942083067,12,0.052904900765883486
