step,train_return,train_std,test_return,test_std
377,,,,
715,,,,
728,29.912481380005676,136.00175392998193,,
754,4.920379327610135,125.48375711228756,,
923,-9.951034142449497,116.11018212716034,,
949,-19.45084985004117,108.10123875512706,,
1092,-21.64346123370342,87.88977387252676,,
1469,-23.049947765173524,84.84439276103137,,
1638,-26.018230496766044,82.71648012357834,,
1807,-27.724706975961453,80.36212421528496,,
1820,-28.69378039710607,78.05901697572504,,
1859,-30.713580900893753,76.31547389970642,,
2002,-29.259824011266527,74.53565516542977,,
2028,-30.70408581099473,72.92062566359256,,
2119,-32.1109030081314,71.44081449383147,,
2171,-25.974211951208957,68.29514798051603,,
2717,-23.95611239408442,67.87938781901539,,
2782,-25.459610993596563,67.17158899277463,,
2899,-21.460303321504036,69.4655383340986,,
2912,-22.156401890089676,68.4422207397309,,
3094,-22.517431523563573,67.39430721286013,,
3120,-23.291616812179033,66.5096693384377,,
3133,-24.668719908167773,66.00010408348925,,
3185,-25.9162032140685,65.45584389479332,,
3224,,,,
3276,-21.49490664418091,65.07636566440249,,
3757,,,,
3887,,,-22.26372721636047,42.4418170770022
3978,,,-32.49208012758754,40.80243237146664
4004,,,-35.515306362323464,36.99230159652233
4147,-22.672335432247927,64.67709979098194,,
4199,,,-38.210199740249664,34.30263691659884
4225,,,-38.7138007191409,31.782019135537155
4238,,,-34.89989026461262,31.395159475248953
4290,,,-37.09346566525184,30.242898094827993
4368,,,-38.30340345339097,26.332656737454617
4550,-23.72205010598182,64.22753132129766,,
4979,-24.099933845311863,63.50442464602915,,
5005,-25.048748758393423,63.062160716735384,,
5070,-25.927871788353844,62.607398438846865,,
5096,-25.08617068468011,62.15910610132959,,
5135,-25.967959769079638,61.7636596099835,,
5265,-26.808905147500905,61.368684703501735,,
5304,-25.08971713261114,61.85926181807051,,
5343,-24.90830346062834,61.23769073699889,,
5356,-25.758162546594978,60.91341752272907,,
5395,-31.234197956015706,49.63525141163564,,
5473,-26.72524789945164,51.01000979724514,,
