id,mode,n,train_mu,train_sd,test_mu,test_sd,main
I2m,img_mc_cells_substrates_m1m2,5,40.829220313039954,8.472538140098518,32.45580056391505,9.432179101206044,True
I2,img_mc_cells_substrates,7,42.479309260449945,6.642311202528686,30.405445798838542,7.4285124687790764,True
I1m,img_mc_cells_m1m2,5,35.023111517906365,13.14171631821486,25.9657337127139,12.380944947313745,False
I1,img_mc_cells,6,30.539334898561986,8.689829636049915,32.428253637400765,10.529012587362514,True
S3sm,spatial_scalars_cells_substrates_m1m2,5,38.31660878073592,27.781105886447534,2.6498873263288933,12.090007113120318,False
S3s,spatial_scalars_cells_substrates,5,42.86075775150797,18.833262299464295,-0.0148644237350611,9.133977246168438,True
S3m,spatial_scalars_cells_m1m2,6,45.699798518167164,26.760365048507353,2.61772903057766,9.663542293757937,False
S5m,spatial_scalars_cells_spatial_no_scalars_substrates_m1m2,5,53.565056980797635,34.24350468797226,9.51684800427408,9.626286080012509,False
POMDP,scalars_macrophages,5,-20.36936706701609,8.282382545525302,-31.790355470807548,2.3191863006080897,True
RAND,random_baseline,5,-18.418957593855474,4.047638429130056,-25.28737286221956,3.032513033121947,True
