id,mode,family,n,train_return_mu,train_return_sd,test_return_mu,test_return_sd,q_bias_mu,q_bias_sd,q_mae_mu,q_mae_sd,qf1_loss_mu,qf1_loss_sd,qf2_loss_mu,qf2_loss_sd,n_q,gap
I1,img_mc_cells,image,5,30.761278670716575,9.503694686609856,33.393710549845146,11.28890982243574,-5.6000031291456605,4.101268199242129,13.559212777747785,2.4151915002613773,1.1412868528306483,0.3307428350717064,1.145993902337551,0.2803113789535296,5,-2.6324318791285712
I1m,img_mc_cells_m1m2,image,5,35.023111517906365,13.14171631821486,25.9657337127139,12.380944947313745,-1.292064349167814,2.828389530265122,11.828780566712037,2.0439598812436057,1.0124953986167906,0.1227335769474939,1.0145662225306036,0.1806347106182225,5,9.057377805192466
I2,img_mc_cells_substrates,image,5,45.34226061494401,5.031501654522775,32.66635787972612,4.695134257759228,-4.907091985490628,2.711053517099087,14.560221181180111,0.9374206479769304,1.1438072447657586,0.15015706615895077,1.098141666197777,0.13355944721462068,5,12.675902735217889
I2m,img_mc_cells_substrates_m1m2,image,5,40.829220313039954,8.47253814009852,32.45580056391505,9.432179101206044,-8.104019409578997,5.303246476095814,15.30082247725548,3.993507730565312,1.042561862158775,0.16612217758925743,1.0436340215206148,0.16557907820422646,5,8.373419749124906
POMDP,scalars_macrophages,pomdp,5,-20.36936706701609,8.282382545525302,-31.790355470807555,2.3191863006080897,-6.1509708107524,7.780514568993932,21.496135024361546,1.780392151805793,27.242436057662964,3.275568744080462,27.289230970382686,3.5016377230994826,5,11.420988403791466
RAND,random_baseline,random,5,-16.94778606677174,2.75887588879855,-25.91569283766926,3.1470525352080854,,,,,,,,,0,8.967906770897518
S3m,spatial_scalars_cells_m1m2,scalar,5,48.17570530072372,28.68030471699684,1.9544228627164189,10.460449759066838,-0.98154044394729,31.606953196799598,36.73044938053518,25.40811708401765,522.8834690776823,752.5447861320986,535.2722589275361,776.220986654186,5,46.2212824380073
S3s,spatial_scalars_cells_substrates,scalar,5,42.86075775150797,18.833262299464295,-0.0148644237350611,9.133977246168438,-7.139054917501335,19.096853377361917,44.14213914293312,10.948281181842065,369.72249620361333,169.5539070987777,378.38908383026126,176.18564775017447,5,42.87562217524303
S3sm,spatial_scalars_cells_substrates_m1m2,scalar,5,38.31660878073592,27.781105886447534,2.6498873263288933,12.090007113120318,-9.216358420402122,10.762559797431273,50.27698526052327,25.741258501309726,924.2905798622132,684.9096467665364,919.8554260513305,675.5643212763605,5,35.666721454407025
S5m,spatial_scalars_cells_spatial_no_scalars_substrates_m1m2,scalar,5,53.565056980797635,34.24350468797226,9.51684800427408,9.626286080012509,-5.751997202745903,10.878731124442066,37.91672526755475,20.98655822425725,291.4513410331726,264.9476686957217,289.53133660736086,261.8626148628064,5,44.048208976523554
